Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
244,Kevon Looney\looneke01,C,23,GSW,1,1,10,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,5,4,9,1,0,0,1,3,3
245,Brook Lopez\lopezbr01,C,31,MIL,9,9,242,28,77,.364,13,47,.277,15,30,.500,.448,19,21,.905,5,34,39,16,6,20,11,22,88
246,Robin Lopez\lopezro01,C,31,MIL,9,0,136,15,34,.441,3,16,.188,12,18,.667,.485,5,11,.455,4,16,20,6,2,5,8,16,38
247,Kevin Love\loveke01,PF,31,CLE,8,8,264,46,93,.495,18,49,.367,28,44,.636,.591,38,45,.844,8,105,113,31,7,5,26,15,148
248,Kyle Lowry\lowryky01,PG,33,TOR,8,8,289,54,113,.478,29,68,.426,25,45,.556,.606,37,42,.881,2,32,34,52,9,3,27,23,174
249,Trey Lyles\lylestr01,PF,24,SAS,8,8,162,14,29,.483,3,11,.273,11,18,.611,.534,3,6,.500,17,45,62,12,1,1,4,12,34
250,Daryl Macon\maconda01,SG,24,MIA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
251,Josh Magette\magetjo01,PG,30,ORL,1,0,6,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,0,1,1,1,0,0,0,4
252,Thon Maker\makerth01,C,22,DET,10,0,135,10,24,.417,2,7,.286,8,17,.471,.458,6,11,.545,5,19,24,4,4,8,7,19,28
253,Terance Mann\mannte01,SG,23,LAC,5,0,16,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,4,5,5,1,0,2,3,4
254,Boban Marjanović\marjabo01,C,31,DAL,3,0,28,8,17,.471,0,0,,8,17,.471,.471,0,1,.000,5,10,15,1,0,0,3,5,16
255,Lauri Markkanen\markkla01,PF,22,CHI,9,9,272,44,112,.393,17,56,.304,27,56,.482,.469,31,40,.775,10,58,68,20,8,5,17,13,136
256,Caleb Martin\martica02,SF,24,CHO,3,0,25,2,9,.222,0,3,.000,2,6,.333,.222,1,3,.333,0,4,4,3,1,2,3,2,5
257,Cody Martin\martico01,SF,24,CHO,7,0,82,4,12,.333,0,4,.000,4,8,.500,.333,7,9,.778,3,17,20,7,6,1,1,6,15
258,Kelan Martin\martike03,SF,24,MIN,1,0,5,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,1,0
259,Garrison Mathews\mathega01,SG,23,WAS,2,0,14,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,2,0,0,1,3,0
260,Wesley Matthews\matthwe02,SG,33,MIL,9,9,210,22,51,.431,12,37,.324,10,14,.714,.549,2,3,.667,1,16,17,8,8,1,4,9,58
261,Patrick McCaw\mccawpa01,SF,24,TOR,2,0,40,3,5,.600,1,3,.333,2,2,1.000,.700,1,2,.500,2,4,6,3,3,0,3,3,8
