Date,Start (ET),Visitor,Visitor PTS,Home,Home PTS,,,Attend.,Notes
Mon Nov 18 2019,9:00p,MIN,112,UTA,102,Box Score,,18306,
Mon Nov 18 2019,10:30p,OKC,88,LAC,90,Box Score,,19068,
Tue Nov 19 2019,8:00p,GSW,114,MEM,95,Box Score,,14511,
Tue Nov 19 2019,8:00p,POR,104,NOP,115,Box Score,,15021,
Tue Nov 19 2019,10:00p,PHO,116,SAC,120,Box Score,,16732,
Tue Nov 19 2019,10:30p,OKC,107,LAL,112,Box Score,,18997,
Wed Nov 20 2019,7:00p,NYK,104,PHI,109,Box Score,,20384,
Wed Nov 20 2019,7:00p,SAS,132,WAS,138,Box Score,,14579,
Wed Nov 20 2019,7:30p,MIL,135,ATL,127,Box Score,,16441,
Wed Nov 20 2019,7:30p,CHO,91,BRK,101,Box Score,,14011,
Wed Nov 20 2019,7:30p,GSW,94,DAL,142,Box Score,,19569,
Wed Nov 20 2019,7:30p,CLE,100,MIA,124,Box Score,,19600,
Wed Nov 20 2019,7:30p,ORL,97,TOR,113,Box Score,,19800,
Wed Nov 20 2019,8:00p,DET,89,CHI,109,Box Score,,18119,
Wed Nov 20 2019,8:00p,UTA,103,MIN,95,Box Score,,13177,
Wed Nov 20 2019,9:00p,HOU,95,DEN,105,Box Score,,17778,
Wed Nov 20 2019,10:00p,BOS,104,LAC,107,Box Score,OT,19068,
Thu Nov 21 2019,8:00p,POR,129,MIL,137,Box Score,,17385,
Thu Nov 21 2019,10:30p,NOP,124,PHO,121,Box Score,,13903,
Fri Nov 22 2019,7:00p,ATL,103,DET,128,Box Score,,15399,
Fri Nov 22 2019,7:00p,CHO,118,WAS,125,Box Score,,15053,
Fri Nov 22 2019,7:30p,SAC,97,BRK,116,Box Score,,15619,
Fri Nov 22 2019,8:00p,MIA,116,CHI,108,Box Score,,18953,
Fri Nov 22 2019,8:00p,LAL,130,OKC,127,Box Score,,18203,
Fri Nov 22 2019,8:00p,SAS,104,PHI,115,Box Score,,20927,
Fri Nov 22 2019,8:30p,CLE,101,DAL,143,Box Score,,19639,
Fri Nov 22 2019,9:00p,BOS,92,DEN,96,Box Score,,19520,
Fri Nov 22 2019,9:00p,GSW,109,UTA,113,Box Score,,18306,
Fri Nov 22 2019,10:30p,HOU,119,LAC,122,Box Score,,19068,
Sat Nov 23 2019,5:00p,PHO,100,MIN,98,Box Score,,17362,
Sat Nov 23 2019,7:00p,CHI,116,CHO,115,Box Score,,17891,
Sat Nov 23 2019,7:00p,ORL,106,IND,111,Box Score,,16446,
Sat Nov 23 2019,7:30p,TOR,119,ATL,116,Box Score,,16931,
Sat Nov 23 2019,7:30p,SAS,111,NYK,104,Box Score,,19320,
Sat Nov 23 2019,7:30p,MIA,86,PHI,113,Box Score,,21017,
Sat Nov 23 2019,8:00p,POR,104,CLE,110,Box Score,,19432,
Sat Nov 23 2019,8:00p,LAL,109,MEM,108,Box Score,,17794,
Sat Nov 23 2019,8:30p,DET,90,MIL,104,Box Score,,17585,
Sat Nov 23 2019,9:00p,NOP,120,UTA,128,Box Score,,18306,
Sun Nov 24 2019,3:30p,DAL,137,HOU,123,Box Score,,18055,
Sun Nov 24 2019,6:00p,BRK,103,NYK,101,Box Score,,18770,
Sun Nov 24 2019,6:00p,SAC,113,WAS,106,Box Score,,15885,
Sun Nov 24 2019,8:00p,PHO,104,DEN,116,Box Score,,19520,
Sun Nov 24 2019,9:00p,NOP,109,LAC,134,Box Score,,19068,
Mon Nov 25 2019,7:00p,BRK,108,CLE,106,Box Score,,17143,
Mon Nov 25 2019,7:00p,ORL,88,DET,103,Box Score,,14695,
